"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",5.03185971862132,0.984565217528917,5.11074292391762,12.3460504162528,0.000235158815297343,3.28117045483424,6.7825489824084
"Body Weight",0.551247827036089,0.0779350880624833,7.07316615327532,12.3460504162528,1.11026315865459e-05,0.412668767453087,0.68982688661909
"Litter Size",0.0833397825890773,0.0871743624471391,0.956012527646681,12.3460504162528,0.357411903552094,-0.0716679484342946,0.238347513612449
"Gestation Length",-0.00689557923345665,0.27579506111066,-0.0250025479270272,12.3460504162528,0.980452520669461,-0.497296259549743,0.48350510108283
