"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",1.43268107661029,1.50712864589657,0.950603042753538,11.9155173126551,0.360689995962628,-1.25504327991046,4.12040543313105
"Body Weight",0.65095130154737,0.119742576422722,5.43625601681849,11.9155173126551,0.000154778407818412,0.437409451593052,0.864493151501687
"Litter Size",0.131271700703132,0.132525908445862,0.9905361317086,11.9155173126551,0.341601066244798,-0.10506718978892,0.367610591195185
"Gestation Length",-0.161219164926536,0.438781889976273,-0.367424382385641,11.9155173126551,0.71974549555972,-0.943716913941107,0.621278584088034
