"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",1.12739674817193,0.844014796388094,1.3357547201738,12.3500812789782,0.205724231013146,-0.373335394562197,2.62812889090605
"Body Weight",0.611834338165744,0.107908045682343,5.66996032869364,12.3500812789782,9.31963147605686e-05,0.419964393103015,0.803704283228473
"Temperature",0.0526999187352641,0.080133617309161,0.657650565454249,12.3500812789782,0.522831764508399,-0.0897846629617088,0.195184500432237
"Precipitation",0.00396283639566707,0.00756335814450703,0.523951969476036,12.3500812789782,0.609586542276338,-0.00948547603089896,0.0174111488222331
