"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",4.46291989662806,0.92173994094038,4.84184280012309,10.3967784459006,0.000608007908185826,2.79874828921151,6.12709150404461
"Body Weight",0.646611722294274,0.133747153046961,4.83458307383363,10.3967784459006,0.000614837368951848,0.405135569653575,0.888087874934974
"Locomotor Mode Generalised",0.0546910320475041,0.159771088116388,0.342308691092242,10.3967784459006,0.738938093670337,-0.233770492423354,0.343152556518362
"Locomotor Mode Saltatorial",0.0528083527651442,0.115774750467752,0.456130136768066,10.3967784459006,0.65767633338366,-0.156219209160406,0.261835914690694
"Activity",-0.169251866352837,0.139301527572541,-1.21500366365113,10.3967784459006,0.251236845602392,-0.420756262288491,0.0822525295828178
"Burrow",-0.0518867592099313,0.0784471387818648,-0.661423220982106,10.3967784459006,0.522728662604232,-0.193520527310135,0.0897470088902721
