"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",5.22542771307461,0.570977178881093,9.151727785889,12.3498711914662,7.42114041107911e-07,4.2101789444459,6.24067648170332
"Body Weight",0.528507535481216,0.072399853146559,7.29984264486501,12.3498711914662,8.05283951832436e-06,0.399774086098906,0.657240984863526
"Temperature",0.0140905491614548,0.0544205978526826,0.258919411352262,12.3498711914662,0.799962677113006,-0.0826741675409623,0.110855265863872
"Precipitation",0.000107420232644615,0.00502348351597598,0.021383614040534,12.3498711914662,0.983281263711497,-0.00882478519072369,0.00903962565601293
