"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",5.32313667628119,0.503842419190335,10.5650824018259,11.4149914162673,3.07804863597383e-07,4.42129456646061,6.22497878610178
"Body Weight",0.521522944318406,0.0697066056298431,7.48168612724888,11.4149914162673,9.91781088677257e-06,0.396753076011821,0.64629281262499
"Home Range",0.024365073954268,0.0167317017469436,1.45622210596234,11.4149914162673,0.172279711656402,-0.00558348263729627,0.0543136305458322
"Geographic Area",-0.00408249497906934,0.0142305176921431,-0.286883096412112,11.4149914162673,0.779342455894806,-0.0295541099334928,0.0213891199753541
