"","Qmbar","SE","WaldT","df","p","lowerCI","upperCI"
"Intercept",1.4028626247353,0.803702572704683,1.74549973134251,11.9059617347402,0.106625231945769,-0.030509733821974,2.83623498329258
"Body Weight",0.616187908515744,0.110519179069129,5.57539346297823,11.9059617347402,0.000124330658439753,0.419081240267786,0.813294576763702
"Home Range",0.00931906729063183,0.0256250099088432,0.3636707780322,11.9059617347402,0.722479582520922,-0.0363821437525093,0.0550202783337729
"Geographic Area",-0.0145946460644338,0.0232873626349889,-0.626719577188425,11.9059617347402,0.542673686285696,-0.0561267538843223,0.0269374617554548
